Date,Open,High,Low,Close,Volume
11.08.2008 06:00:00.000 GMT+0900,1.68615,1.73575,1.6818,1.69475,1540045.8378
18.08.2008 06:00:00.000 GMT+0900,1.6929,1.7075,1.6828,1.7069,1368733.5128
25.08.2008 06:00:00.000 GMT+0900,1.7077,1.7209,1.69935,1.7095,1232266.2353
01.09.2008 06:00:00.000 GMT+0900,1.714,1.7718,1.70785,1.74825,1313902.9628
08.09.2008 06:00:00.000 GMT+0900,1.73195,1.76755,1.7206,1.72535,1418365.0149
15.09.2008 06:00:00.000 GMT+0900,1.74715,1.8251,1.73085,1.7338,1054097.5072
22.09.2008 06:00:00.000 GMT+0900,1.73131,1.76795,1.7247,1.7585,830949.4997
29.09.2008 06:00:00.000 GMT+0900,1.75705,1.8096,1.74035,1.7807,909740.3372
06.10.2008 06:00:00.000 GMT+0900,1.77062,2.11215,1.7638,2.0827,12291995.129
13.10.2008 06:00:00.000 GMT+0900,2.0186,2.0706,1.899,1.9462,23668296.7945
20.10.2008 06:00:00.000 GMT+0900,1.93069,2.07375,1.8895,2.0273,21309285.2709
27.10.2008 06:00:00.000 GMT+0900,2.03063,2.08205,1.88895,1.9037,5027785.6402
03.11.2008 07:00:00.000 GMT+0900,1.906,1.93275,1.84955,1.8859,1530773.9447
10.11.2008 07:00:00.000 GMT+0900,1.86839,1.96875,1.8492,1.944,737050.403
17.11.2008 07:00:00.000 GMT+0900,1.96699,2.05615,1.9288,1.991,783275.7001
24.11.2008 07:00:00.000 GMT+0900,1.9866,2.02855,1.93325,1.9378,923180.9996
01.12.2008 07:00:00.000 GMT+0900,1.94487,2.0113,1.94115,1.96525,819679.0484
08.12.2008 07:00:00.000 GMT+0900,1.96125,2.0455,1.925,2.0123,832071.0006
15.12.2008 07:00:00.000 GMT+0900,2.01389,2.1024,2.0099,2.0442,780151.2976
22.12.2008 07:00:00.000 GMT+0900,2.03885,2.06883,2.0252,2.05105,582793.6995
29.12.2008 07:00:00.000 GMT+0900,2.04848,2.0703,1.9486,1.9567,533375.4997
05.01.2009 07:00:00.000 GMT+0900,1.9532,1.9586,1.86045,1.91535,830455.303
12.01.2009 07:00:00.000 GMT+0900,1.9252,2.0056,1.91375,1.9699,1011473.6998
